,งวดงบการเงิน ณ วันที่,หลักทรัพย์,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท),อัตราส่วนทางการเงินที่สำคัญ,ROA (%),ROE (%),อัตรากำไรสุทธิ (%),หลักทรัพย์-ปี,ค่าสถิติสำคัญ ณ วันที่,ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),วันที่ของงบการเงินที่ใช้คำนวณค่าสถิติ,P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน (%),ปี
229,งบปี 2564 31 ธ.ค. 2564,TTB,1759180.73,1548345.04,210834.56,91791.73,80709.8,2007.87,10474.05,0.11,,1.46,5.04,12.98,TTB-2564,30 ธ.ค. 2564,1.47,142035.63,30 ก.ย. 2564,15.94,0.68,2.15,3.05,2564
230,งบปี 2565 31 ธ.ค. 2565,TTB,1826278.88,1607271.29,219006.44,91937.27,81535.77,1960.8,14195.19,0.15,,1.76,6.6,17.41,TTB-2565,30 ธ.ค. 2565,1.41,136454.26,30 ก.ย. 2565,10.38,0.64,2.22,2.69,2565
231,งบปี 2566 31 ธ.ค. 2566,TTB,1824433.72,1595086.59,229347.09,92246.41,94530.5,2001.93,18462.18,0.19,,2.16,8.24,19.53,TTB-2566,28 ธ.ค. 2566,1.67,162159.48,30 ก.ย. 2566,9.30,0.72,2.31,4.35,2566
232,ไตรมาส 1/2567 31 มี.ค. 2567,TTB,1807602.85,1572486.78,235116.02,92248.36,24743.25,573.83,5333.79,0.05,,2.25,8.48,21.56,TTB-2567,13 พ.ค. 2567,1.75,170269.29,31 มี.ค. 2567,8.73,0.72,2.42,5.98,2567
233,งบปี 2563 31 ธ.ค. 2563,TU,144574.67,88838.02,52185.26,1192.95,134111.99,-527.49,6246.09,1.26,,6.29,12.42,4.85,TU-2563,30 ธ.ค. 2563,13.60,64896.69,30 ก.ย. 2563,10.83,1.25,10.88,3.54,2563
234,งบปี 2564 31 ธ.ค. 2564,TU,166604.04,104390.64,59319.07,1192.95,141858.21,1712.94,8013.0,1.66,,6.9,14.37,5.83,TU-2564,30 ธ.ค. 2564,19.50,93050.40,30 ก.ย. 2564,12.04,1.59,12.23,3.69,2564
235,งบปี 2565 31 ธ.ค. 2565,TU,182569.47,94438.04,80642.28,1192.95,156560.31,-267.36,7138.0,1.47,,4.9,10.2,4.73,TU-2565,30 ธ.ค. 2565,16.90,80643.68,30 ก.ย. 2565,10.05,1.29,13.08,5.62,2565
236,งบปี 2566 31 ธ.ค. 2566,TU,165450.32,99433.08,58628.23,1163.78,137212.85,142.98,-13933.21,-3.15,,4.66,-20.01,-9.62,TU-2566,28 ธ.ค. 2566,15.00,69826.99,30 ก.ย. 2566,14.87,0.89,16.94,5.85,2566
237,ไตรมาส 1/2567 31 มี.ค. 2567,TU,162035.3,97764.43,56780.01,1163.78,33467.86,398.62,1153.07,0.24,,5.15,-20.1,4.21,TU-2567,13 พ.ค. 2567,15.20,70758.02,31 มี.ค. 2567,-,1.17,12.99,3.62,2567
238,งบปี 2563 31 ธ.ค. 2563,WHA,82621.11,50453.94,28805.19,1494.68,8197.88,1208.76,2523.75,0.17,,5.18,8.66,34.95,WHA-2563,30 ธ.ค. 2563,3.04,45438.38,30 ก.ย. 2563,20.01,1.61,1.89,4.40,2563
239,งบปี 2564 31 ธ.ค. 2564,WHA,82769.49,48739.72,30594.11,1494.68,11638.82,325.07,2590.07,0.17,,5.68,8.72,24.68,WHA-2564,30 ธ.ค. 2564,3.52,52612.86,30 ก.ย. 2564,26.19,1.82,1.93,2.85,2564
240,งบปี 2565 31 ธ.ค. 2565,WHA,86302.14,50690.33,32049.62,1494.68,14982.33,585.28,4045.87,0.27,,7.09,12.92,28.84,WHA-2565,30 ธ.ค. 2565,4.08,60983.09,30 ก.ย. 2565,18.83,2.02,2.02,2.46,2565
241,งบปี 2566 31 ธ.ค. 2566,WHA,90224.95,52902.53,33487.38,1494.68,15519.06,1495.51,4425.74,0.3,,7.87,13.51,32.54,WHA-2566,28 ธ.ค. 2566,5.30,79218.22,30 ก.ย. 2566,16.32,2.45,2.16,3.15,2566
242,ไตรมาส 1/2567 31 มี.ค. 2567,WHA,97608.5,59101.68,34526.82,1494.68,3757.38,172.53,1364.92,0.09,,8.58,15.65,40.79,WHA-2567,13 พ.ค. 2567,5.30,79218.22,31 มี.ค. 2567,15.04,2.29,2.31,3.47,2567
